Price Date,States,Commodity,Modal Price (Rs./Quintal)
19 Jun 2019,Delhi,Apple,5167
18 Jun 2019,Delhi,Apple,5167
18 Jun 2019,Delhi,Apple,6233
17 Jun 2019,Delhi,Apple,5233
17 Jun 2019,Delhi,Apple,6233
15 Jun 2019,Delhi,Apple,5233
15 Jun 2019,Delhi,Apple,6233
14 Jun 2019,Delhi,Apple,5233
14 Jun 2019,Delhi,Apple,6233
13 Jun 2019,Delhi,Apple,5233
13 Jun 2019,Delhi,Apple,6400
12 Jun 2019,Delhi,Apple,5233
12 Jun 2019,Delhi,Apple,6400
11 Jun 2019,Delhi,Apple,5233
11 Jun 2019,Delhi,Apple,6400
10 Jun 2019,Delhi,Apple,5233
10 Jun 2019,Delhi,Apple,6400
08 Jun 2019,Delhi,Apple,5233
08 Jun 2019,Delhi,Apple,6400
07 Jun 2019,Delhi,Apple,5233
07 Jun 2019,Delhi,Apple,6840
06 Jun 2019,Delhi,Apple,6840
05 Jun 2019,Delhi,Apple,5233
05 Jun 2019,Delhi,Apple,6840
04 Jun 2019,Delhi,Apple,5333
04 Jun 2019,Delhi,Apple,6467
03 Jun 2019,Delhi,Apple,5500
03 Jun 2019,Delhi,Apple,6467
01 Jun 2019,Delhi,Apple,5500
01 Jun 2019,Delhi,Apple,6467
31 May 2019,Delhi,Apple,5333
31 May 2019,Delhi,Apple,6467
30 May 2019,Delhi,Apple,5500
30 May 2019,Delhi,Apple,5500
29 May 2019,Delhi,Apple,5500
29 May 2019,Delhi,Apple,6767
28 May 2019,Delhi,Apple,5500
28 May 2019,Delhi,Apple,6767
27 May 2019,Delhi,Apple,3875
27 May 2019,Delhi,Apple,6767
25 May 2019,Delhi,Apple,5667
25 May 2019,Delhi,Apple,6767
24 May 2019,Delhi,Apple,5667
24 May 2019,Delhi,Apple,6767
23 May 2019,Delhi,Apple,5667
